"n1","n2","n3","n4","eng"
"gddam","godam","goddam","","in front of"
"mora","moura","","","behind"
"fog","foug","","","on"
"t7t","taht","ta7t","","under"
"3la","aala","","","about"
"b3d","be3d","ba3d","","after"
"Dedd","Dadd","","","against"
"fost","","","","among"
"b7al","bhal","","","as"
"b7al","bhal","","","like"
"f","fi","","","at"
"bsbab","bsabab","","","because of"
"9bl","9bel","qbel","9bal","before"
"mora","moura","wra","","behind"
"t7t","lt7t","te7t","ta7t","below"
"7da","hda","","","beside"
"bin","","","","between"
"b","bi","","","by"
"bwasiTat","b wasiTat","","","by means of"
"t7t","ta7t","te7T","","down"
"fou9t","f w9t","fw9t","","during"
"ma3ada","ma 3ada","","","except"
"tab3","taab3","tabaa","","following"
"l","li","","","to"
"l","li","","","for"
"mn","men","","","from"
"f","fi","","","in"
"za2id","","","","in addition"
"ila","","","","if"
"bima fiha","","","","including"
"daakhl","daa5l","dakhl","da5l","inside"
"khaarj","5aarj","kharj","5arj","outside"
"mn","men","","","of"
"3la","aala","","","over"
"bnnisba","bnisba","b nnisba","b nisba","regarding"
"mn","men","","","since"
"f ttija8","f tijah","fttijah","ftija8","toward"
"7tal","","","","until"
"m3a","maa","","","with"
"7it","7int","7itach","7intach","because"
"bach","","","","in order to"
