n1,n2,n3,eng
3a2ila,,,family
bnti,benti,banti,my daughter
wldi,waldi,weldi,my son
lwalid,,,father
lwalida,,,mother
baba,bba,,dad
mama,mmi,,mom
khouya,5ouya,khoya,my brother
khti,5ti,,my sister
3mi,aami,3mmi,my uncle
3mti,aamti,3mmti,my aunt
khali,5ali,,my uncle
khalti,5alti,,my aunt
kouzan,kozan,,my cousin
wld 3mi,wld aami,wld 3mmi,my cousin
wld 3mti,wld aamti,wld 3mmti,my cousin
wld khali,wld 5ali,,my cousin
wld khalti,wld 5alti,,my cousin
bnt 3mi,bnt aami,bnt 3mmi,my cousin
bnt 3mti,bnt aamti,bnt 3mmti,my cousin
bnt khali,bnt 5ali,,my cousin
bnt khalti,bnt 5alti,,my cousin
zawja,zzawja,,wife
lmra,lemra,lamra,wife
zawjati,,,my wife
zawj,zzawj,,husband
rrajl,arrajel,rrajal,husband
mjwwj,mzwwj,mjawwej,married
mjwwja,mzwwja,mjawweja,married
3zri,3azri,3ezri,single
ddrari,drari,,children
khout,5out,,brothers
khwatat,5watat,,sisters
walidin,,,parents
khwal,5wal,,uncles
3mam,a3mam,,uncles
7fid,hfid,7afid,grandchild
jdd,jedd,jadd,grandfather
jdda,jedda,jadda,grandmother
nsab,nsaab,,family-in-law
